subchannel,region,brand,week,variable,value
Subchannel A,Region A,Brand A,2023-11-25,total_distribution,1.35
Subchannel A,Region A,Brand A,2023-12-02,total_distribution,1.36842105263157
Subchannel A,Region A,Brand A,2023-12-09,total_distribution,1.4
Subchannel A,Region A,Brand A,2023-12-16,total_distribution,1.42307692307692
Subchannel A,Region A,Brand A,2023-12-23,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2023-12-30,total_distribution,1.48
Subchannel A,Region A,Brand A,2024-01-06,total_distribution,1.0
Subchannel A,Region A,Brand A,2024-01-13,total_distribution,1.44444444444444
Subchannel A,Region A,Brand A,2024-01-20,total_distribution,1.32
Subchannel A,Region A,Brand A,2024-01-27,total_distribution,1.55555555555555
Subchannel A,Region A,Brand A,2024-02-03,total_distribution,1.22727272727272
Subchannel A,Region A,Brand A,2024-02-10,total_distribution,1.55555555555555
Subchannel A,Region A,Brand A,2024-02-17,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2024-02-24,total_distribution,1.76190476190476
Subchannel A,Region A,Brand A,2024-03-02,total_distribution,1.21052631578947
Subchannel A,Region A,Brand A,2024-03-09,total_distribution,1.55555555555555
Subchannel A,Region A,Brand A,2024-03-16,total_distribution,1.77777777777777
Subchannel A,Region A,Brand A,2024-03-23,total_distribution,1.63636363636363
Subchannel A,Region A,Brand A,2024-03-30,total_distribution,1.76190476190476
Subchannel A,Region A,Brand A,2024-04-06,total_distribution,1.16666666666666
Subchannel A,Region A,Brand A,2024-04-13,total_distribution,1.35294117647058
Subchannel A,Region A,Brand A,2024-04-20,total_distribution,1.66666666666666
Subchannel A,Region A,Brand A,2024-04-27,total_distribution,1.29411764705882
Subchannel A,Region A,Brand A,2024-05-04,total_distribution,1.27272727272727
Subchannel A,Region A,Brand A,2024-05-11,total_distribution,1.2
Subchannel A,Region A,Brand A,2024-05-18,total_distribution,1.4375
Subchannel A,Region A,Brand A,2024-05-25,total_distribution,1.25
Subchannel A,Region A,Brand A,2024-06-01,total_distribution,1.29411764705882
Subchannel A,Region A,Brand A,2024-06-08,total_distribution,1.2
Subchannel A,Region A,Brand A,2024-06-15,total_distribution,1.05882352941176
Subchannel A,Region A,Brand A,2024-06-22,total_distribution,1.2
Subchannel A,Region A,Brand A,2024-06-29,total_distribution,1.44444444444444
Subchannel A,Region A,Brand A,2024-07-06,total_distribution,1.58333333333333
Subchannel A,Region A,Brand A,2024-07-13,total_distribution,1.23809523809523
Subchannel A,Region A,Brand A,2024-07-20,total_distribution,1.68421052631578
Subchannel A,Region A,Brand A,2024-07-27,total_distribution,1.25
Subchannel A,Region A,Brand A,2024-08-03,total_distribution,1.47619047619047
Subchannel A,Region A,Brand A,2024-08-10,total_distribution,1.35294117647058
Subchannel A,Region A,Brand A,2024-08-17,total_distribution,1.35714285714285
Subchannel A,Region A,Brand A,2024-08-24,total_distribution,1.56
Subchannel A,Region A,Brand A,2024-08-31,total_distribution,1.52380952380952
Subchannel A,Region A,Brand A,2024-09-07,total_distribution,1.66666666666666
Subchannel A,Region A,Brand A,2024-09-14,total_distribution,1.76923076923076
Subchannel A,Region A,Brand A,2024-09-21,total_distribution,1.62068965517241
Subchannel A,Region A,Brand A,2024-09-28,total_distribution,1.4
Subchannel A,Region A,Brand A,2024-10-05,total_distribution,1.39130434782608
Subchannel A,Region A,Brand A,2024-10-12,total_distribution,1.58333333333333
Subchannel A,Region A,Brand A,2024-10-19,total_distribution,1.52777777777777
Subchannel A,Region A,Brand A,2024-10-26,total_distribution,1.32142857142857
Subchannel A,Region A,Brand A,2024-11-02,total_distribution,1.56521739130434
Subchannel A,Region A,Brand A,2024-11-09,total_distribution,1.2
Subchannel A,Region A,Brand A,2024-11-16,total_distribution,1.22222222222222
Subchannel A,Region A,Brand A,2024-11-23,total_distribution,1.26923076923076
Subchannel A,Region A,Brand A,2024-11-30,total_distribution,1.42857142857142
Subchannel A,Region A,Brand A,2024-12-07,total_distribution,1.53333333333333
Subchannel A,Region A,Brand A,2024-12-14,total_distribution,1.14285714285714
Subchannel A,Region A,Brand A,2024-12-21,total_distribution,1.5625
Subchannel A,Region A,Brand A,2024-12-28,total_distribution,1.42857142857142
Subchannel A,Region A,Brand A,2025-01-04,total_distribution,1.29411764705882
Subchannel A,Region A,Brand A,2025-01-11,total_distribution,1.48
Subchannel A,Region A,Brand A,2025-01-18,total_distribution,1.54166666666666
Subchannel A,Region A,Brand A,2025-01-25,total_distribution,1.60714285714285
Subchannel A,Region A,Brand A,2025-02-01,total_distribution,1.3076923076923
Subchannel A,Region A,Brand A,2025-02-08,total_distribution,1.71428571428571
Subchannel A,Region A,Brand A,2025-02-15,total_distribution,1.7391304347826
Subchannel A,Region A,Brand A,2025-02-22,total_distribution,1.32142857142857
Subchannel A,Region A,Brand A,2025-03-01,total_distribution,1.57142857142857
Subchannel A,Region A,Brand A,2025-03-08,total_distribution,1.27272727272727
Subchannel A,Region A,Brand A,2025-03-15,total_distribution,1.3076923076923
Subchannel A,Region A,Brand A,2025-03-22,total_distribution,1.55555555555555
Subchannel A,Region A,Brand A,2025-03-29,total_distribution,1.64285714285714
Subchannel A,Region A,Brand A,2025-04-05,total_distribution,1.8
Subchannel A,Region A,Brand A,2025-04-12,total_distribution,1.22222222222222
Subchannel A,Region A,Brand A,2025-04-19,total_distribution,1.4375
Subchannel A,Region A,Brand A,2025-04-26,total_distribution,1.78947368421052
Subchannel A,Region A,Brand A,2025-05-03,total_distribution,1.47058823529411
Subchannel A,Region A,Brand A,2025-05-10,total_distribution,1.57142857142857
Subchannel A,Region A,Brand A,2025-05-17,total_distribution,1.29411764705882
Subchannel A,Region A,Brand A,2025-05-24,total_distribution,1.625
Subchannel A,Region A,Brand A,2025-05-31,total_distribution,1.23529411764705
Subchannel A,Region A,Brand A,2025-06-07,total_distribution,1.44444444444444
Subchannel A,Region A,Brand A,2025-06-14,total_distribution,1.6875
Subchannel A,Region A,Brand A,2025-06-21,total_distribution,1.42105263157894
Subchannel A,Region A,Brand A,2025-06-28,total_distribution,1.2
Subchannel A,Region A,Brand A,2025-07-05,total_distribution,1.35294117647058
Subchannel A,Region A,Brand A,2025-07-12,total_distribution,1.375
Subchannel A,Region A,Brand A,2025-07-19,total_distribution,1.5
Subchannel A,Region A,Brand A,2025-07-26,total_distribution,1.71428571428571
Subchannel A,Region A,Brand A,2025-08-02,total_distribution,1.5625
Subchannel A,Region A,Brand A,2025-08-09,total_distribution,1.28
Subchannel A,Region A,Brand A,2025-08-16,total_distribution,1.5
Subchannel A,Region A,Brand A,2025-08-23,total_distribution,1.63157894736842
Subchannel A,Region A,Brand A,2025-08-30,total_distribution,1.77272727272727
Subchannel A,Region A,Brand A,2025-09-06,total_distribution,1.35294117647058
Subchannel A,Region A,Brand A,2025-09-13,total_distribution,1.37037037037037
Subchannel A,Region A,Brand A,2025-09-20,total_distribution,1.56521739130434
Subchannel A,Region A,Brand A,2025-09-27,total_distribution,1.3125
Subchannel A,Region A,Brand A,2025-10-04,total_distribution,1.16666666666666
