number,value,datetime_start,datetime_complete,duration,params_candidate__cinema,params_candidate__digitaldisplayandsearch,params_candidate__digitalvideo,params_candidate__facebook,params_candidate__instagram,params_candidate__localtv,params_candidate__ooh,params_candidate__opentv,params_candidate__paytv,params_candidate__print,params_candidate__radio,params_candidate__tiktok,params_candidate__twitter,params_candidate__youtube,system_attrs_tpe:relative_params:0,state
1839,1705.7913132651984,2026-09-21 11:45:24.456416,2026-09-21 11:45:25.106605,0 days 00:00:00.650189,10,16,15,1,13,0,16,0,6,13,3,14,14,16,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 0, ""candidate__paytv"": 6, ""candidate__print"": 13, ""candidate__radio"": 3, ""candidate__tiktok"": 14, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",COMPLETE
1840,2086.340709069075,2026-09-21 11:45:25.126498,2026-09-21 11:45:25.490793,0 days 00:00:00.364295,8,13,15,1,15,1,16,1,7,12,7,12,14,15,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 15, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 1, ""candidate__paytv"": 7, ""candidate__print"": 12, ""candidate__radio"": 7, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
1841,1707.0387272095813,2026-09-21 11:45:25.511202,2026-09-21 11:45:26.088599,0 days 00:00:00.577397,3,12,15,4,14,0,17,5,6,16,6,13,16,15,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 4, ""candidate__instagram"": 14, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 5, ""candidate__paytv"": 6, ""candidate__print"": 16, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 16, ""candidate__youtube"": 15}",COMPLETE
1842,2067.6386933373,2026-09-21 11:45:26.114190,2026-09-21 11:45:26.724991,0 days 00:00:00.610801,4,12,15,5,12,0,16,4,6,14,6,13,15,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 5, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 4, ""candidate__paytv"": 6, ""candidate__print"": 14, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
1843,2059.2220951586223,2026-09-21 11:45:26.745313,2026-09-21 11:45:27.148022,0 days 00:00:00.402709,5,17,15,1,13,0,17,8,9,12,6,9,13,15,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 8, ""candidate__paytv"": 9, ""candidate__print"": 12, ""candidate__radio"": 6, ""candidate__tiktok"": 9, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
1844,2067.331101052567,2026-09-21 11:45:27.168883,2026-09-21 11:45:27.560283,0 days 00:00:00.391400,5,12,15,4,13,0,15,5,6,16,5,13,16,16,"{""candidate__cinema"": 5, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 4, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 5, ""candidate__paytv"": 6, ""candidate__print"": 16, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 16, ""candidate__youtube"": 16}",PRUNED
1845,2090.6816197882345,2026-09-21 11:45:27.580813,2026-09-21 11:45:27.949581,0 days 00:00:00.368768,8,15,15,1,13,1,15,4,6,12,5,9,15,15,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 1, ""candidate__ooh"": 15, ""candidate__opentv"": 4, ""candidate__paytv"": 6, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 9, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
1846,2080.5536303794265,2026-09-21 11:45:27.969272,2026-09-21 11:45:28.338907,0 days 00:00:00.369635,9,16,15,1,14,1,15,1,6,13,4,11,16,16,"{""candidate__cinema"": 9, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 14, ""candidate__localtv"": 1, ""candidate__ooh"": 15, ""candidate__opentv"": 1, ""candidate__paytv"": 6, ""candidate__print"": 13, ""candidate__radio"": 4, ""candidate__tiktok"": 11, ""candidate__twitter"": 16, ""candidate__youtube"": 16}",PRUNED
1847,1705.6834403561631,2026-09-21 11:45:28.355095,2026-09-21 11:45:28.963034,0 days 00:00:00.607939,8,14,15,1,12,0,16,3,11,11,8,13,13,16,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 3, ""candidate__paytv"": 11, ""candidate__print"": 11, ""candidate__radio"": 8, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",COMPLETE
1848,1705.9658883289087,2026-09-21 11:45:28.984076,2026-09-21 11:45:29.651810,0 days 00:00:00.667734,6,13,15,3,14,0,16,6,6,13,2,10,17,15,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 3, ""candidate__instagram"": 14, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 6, ""candidate__print"": 13, ""candidate__radio"": 2, ""candidate__tiktok"": 10, ""candidate__twitter"": 17, ""candidate__youtube"": 15}",COMPLETE
1849,2082.2339964731477,2026-09-21 11:45:29.677994,2026-09-21 11:45:30.049123,0 days 00:00:00.371129,7,13,17,1,14,0,15,2,7,10,9,12,17,15,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 1, ""candidate__instagram"": 14, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 2, ""candidate__paytv"": 7, ""candidate__print"": 10, ""candidate__radio"": 9, ""candidate__tiktok"": 12, ""candidate__twitter"": 17, ""candidate__youtube"": 15}",PRUNED
1850,1710.4353764135274,2026-09-21 11:45:30.065588,2026-09-21 11:45:30.670303,0 days 00:00:00.604715,7,13,15,2,17,0,16,3,8,11,7,11,17,16,"{""candidate__cinema"": 7, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 17, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 3, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 7, ""candidate__tiktok"": 11, ""candidate__twitter"": 17, ""candidate__youtube"": 16}",PRUNED
1851,2058.269371319377,2026-09-21 11:45:30.688592,2026-09-21 11:45:31.067371,0 days 00:00:00.378779,11,17,15,1,13,0,17,1,3,14,4,14,16,15,"{""candidate__cinema"": 11, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 1, ""candidate__paytv"": 3, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 14, ""candidate__twitter"": 16, ""candidate__youtube"": 15}",PRUNED
1852,2058.134056495313,2026-09-21 11:45:31.088869,2026-09-21 11:45:31.736875,0 days 00:00:00.648006,13,16,15,3,12,0,16,0,6,16,6,13,14,15,"{""candidate__cinema"": 13, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 3, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 0, ""candidate__paytv"": 6, ""candidate__print"": 16, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
1853,2066.0027670676986,2026-09-21 11:45:31.753848,2026-09-21 11:45:32.159025,0 days 00:00:00.405177,11,17,15,2,15,0,16,2,4,14,4,13,14,14,"{""candidate__cinema"": 11, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 15, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 2, ""candidate__paytv"": 4, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 14}",PRUNED
1854,2075.5711489282266,2026-09-21 11:45:32.179136,2026-09-21 11:45:32.568519,0 days 00:00:00.389383,6,13,15,1,13,0,15,3,8,11,8,12,16,14,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 13, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 3, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 8, ""candidate__tiktok"": 12, ""candidate__twitter"": 16, ""candidate__youtube"": 14}",PRUNED
