number,value,datetime_start,datetime_complete,duration,params_candidate__cinema,params_candidate__digitaldisplayandsearch,params_candidate__digitalvideo,params_candidate__facebook,params_candidate__instagram,params_candidate__localtv,params_candidate__ooh,params_candidate__opentv,params_candidate__paytv,params_candidate__print,params_candidate__radio,params_candidate__tiktok,params_candidate__twitter,params_candidate__youtube,system_attrs_tpe:relative_params:0,state
510,1707.052140590651,2026-09-21 11:32:55.342909,2026-09-21 11:32:55.993789,0 days 00:00:00.650880,2,16,16,0,10,0,16,11,8,14,4,12,15,15,"{""candidate__cinema"": 2, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 8, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",COMPLETE
511,2067.55183005113,2026-09-21 11:32:56.009905,2026-09-21 11:32:56.403539,0 days 00:00:00.393634,1,17,16,2,8,0,17,8,6,12,5,12,14,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 2, ""candidate__instagram"": 8, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 8, ""candidate__paytv"": 6, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
512,2082.6453357942073,2026-09-21 11:32:56.423948,2026-09-21 11:32:56.970142,0 days 00:00:00.546194,1,12,16,1,10,0,15,11,16,14,6,12,14,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 16, ""candidate__print"": 14, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
513,1711.1934647637108,2026-09-21 11:32:56.991048,2026-09-21 11:32:57.673071,0 days 00:00:00.682023,1,14,16,2,10,0,17,11,17,14,5,12,14,16,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 2, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 11, ""candidate__paytv"": 17, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",PRUNED
514,2075.3840501711247,2026-09-21 11:32:57.694404,2026-09-21 11:32:58.077254,0 days 00:00:00.382850,3,16,15,1,11,0,15,11,9,13,5,11,13,16,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 11, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 9, ""candidate__print"": 13, ""candidate__radio"": 5, ""candidate__tiktok"": 11, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",PRUNED
515,2063.5021919633186,2026-09-21 11:32:58.096710,2026-09-21 11:32:58.460933,0 days 00:00:00.364223,3,16,16,1,11,0,17,11,8,12,5,12,12,15,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 11, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 11, ""candidate__paytv"": 8, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",PRUNED
516,2095.555976670666,2026-09-21 11:32:58.479900,2026-09-21 11:32:58.860512,0 days 00:00:00.380612,0,15,15,1,8,1,15,8,5,11,5,13,15,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 8, ""candidate__localtv"": 1, ""candidate__ooh"": 15, ""candidate__opentv"": 8, ""candidate__paytv"": 5, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
517,2066.887757388346,2026-09-21 11:32:58.877987,2026-09-21 11:32:59.288542,0 days 00:00:00.410555,0,14,14,1,8,0,17,7,7,11,6,12,14,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 1, ""candidate__instagram"": 8, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 7, ""candidate__paytv"": 7, ""candidate__print"": 11, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
518,2076.874172164422,2026-09-21 11:32:59.307056,2026-09-21 11:32:59.755559,0 days 00:00:00.448503,0,16,16,1,10,1,16,8,8,12,3,13,14,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 8, ""candidate__print"": 12, ""candidate__radio"": 3, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
519,2084.7578371968243,2026-09-21 11:32:59.777072,2026-09-21 11:33:00.243577,0 days 00:00:00.466505,3,15,16,0,8,0,15,9,9,15,6,12,14,15,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 8, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 9, ""candidate__paytv"": 9, ""candidate__print"": 15, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
520,2080.6051393707626,2026-09-21 11:33:00.264695,2026-09-21 11:33:00.687626,0 days 00:00:00.422931,3,16,14,0,11,1,16,11,11,12,5,13,13,14,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 0, ""candidate__instagram"": 11, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 11, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 14}",PRUNED
521,2063.353712836755,2026-09-21 11:33:00.710602,2026-09-21 11:33:01.113522,0 days 00:00:00.402920,0,15,15,2,10,0,17,7,7,9,6,12,14,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 7, ""candidate__paytv"": 7, ""candidate__print"": 9, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
522,1705.713258140061,2026-09-21 11:33:01.140604,2026-09-21 11:33:01.994505,0 days 00:00:00.853901,1,16,15,1,7,0,16,8,6,13,5,13,12,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 7, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 6, ""candidate__print"": 13, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",COMPLETE
523,1974.7168442669863,2026-09-21 11:33:02.015465,2026-09-21 11:33:02.523858,0 days 00:00:00.508393,0,17,16,0,10,0,17,7,8,11,4,10,13,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 7, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 10, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
524,2095.5193410302954,2026-09-21 11:33:02.542592,2026-09-21 11:33:02.935008,0 days 00:00:00.392416,1,13,15,2,9,0,15,11,13,14,6,12,13,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 9, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 13, ""candidate__print"": 14, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
525,2064.936722908728,2026-09-21 11:33:02.951912,2026-09-21 11:33:03.355194,0 days 00:00:00.403282,0,15,14,1,8,0,16,8,5,11,5,13,13,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 1, ""candidate__instagram"": 8, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 5, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
526,2096.233597943335,2026-09-21 11:33:03.374856,2026-09-21 11:33:03.772117,0 days 00:00:00.397261,3,16,15,0,9,1,15,10,9,11,5,12,13,16,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 9, ""candidate__localtv"": 1, ""candidate__ooh"": 15, ""candidate__opentv"": 10, ""candidate__paytv"": 9, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",PRUNED
527,2070.267533767207,2026-09-21 11:33:03.800480,2026-09-21 11:33:04.207225,0 days 00:00:00.406745,3,16,15,0,10,1,17,11,7,11,7,13,13,14,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 1, ""candidate__ooh"": 17, ""candidate__opentv"": 11, ""candidate__paytv"": 7, ""candidate__print"": 11, ""candidate__radio"": 7, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 14}",PRUNED
528,2068.382285061148,2026-09-21 11:33:04.224983,2026-09-21 11:33:04.596873,0 days 00:00:00.371890,2,16,16,1,7,0,16,10,10,14,5,13,15,15,"{""candidate__cinema"": 2, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 7, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 10, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
529,2076.702801800653,2026-09-21 11:33:04.615980,2026-09-21 11:33:05.033966,0 days 00:00:00.417986,1,17,15,1,10,1,17,7,8,12,5,12,13,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 1, ""candidate__ooh"": 17, ""candidate__opentv"": 7, ""candidate__paytv"": 8, ""candidate__print"": 12, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
530,2100.2858557284158,2026-09-21 11:33:05.060484,2026-09-21 11:33:05.499811,0 days 00:00:00.439327,0,16,14,2,7,1,15,9,7,11,5,12,14,16,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 2, ""candidate__instagram"": 7, ""candidate__localtv"": 1, ""candidate__ooh"": 15, ""candidate__opentv"": 9, ""candidate__paytv"": 7, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",PRUNED
531,1707.2826700010899,2026-09-21 11:33:05.519703,2026-09-21 11:33:06.291527,0 days 00:00:00.771824,0,16,16,1,10,0,16,6,8,10,3,14,13,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 8, ""candidate__print"": 10, ""candidate__radio"": 3, ""candidate__tiktok"": 14, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",COMPLETE
532,1714.2896792803429,2026-09-21 11:33:06.323540,2026-09-21 11:33:07.304075,0 days 00:00:00.980535,4,16,15,0,10,0,17,11,10,10,5,11,13,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 11, ""candidate__paytv"": 10, ""candidate__print"": 10, ""candidate__radio"": 5, ""candidate__tiktok"": 11, ""candidate__twitter"": 13, ""candidate__youtube"": 15}",PRUNED
533,2069.918777549207,2026-09-21 11:33:07.324704,2026-09-21 11:33:07.765170,0 days 00:00:00.440466,0,14,15,1,6,0,16,6,7,11,5,12,14,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 6, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 7, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
534,2066.6147135489355,2026-09-21 11:33:07.785455,2026-09-21 11:33:08.206406,0 days 00:00:00.420951,1,15,17,1,12,0,16,11,11,13,4,13,15,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 1, ""candidate__instagram"": 12, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 11, ""candidate__print"": 13, ""candidate__radio"": 4, ""candidate__tiktok"": 13, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
535,2069.074860208394,2026-09-21 11:33:08.231928,2026-09-21 11:33:08.740751,0 days 00:00:00.508823,0,16,15,0,10,1,16,7,9,11,5,11,15,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 7, ""candidate__paytv"": 9, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 11, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
536,2093.4370791405618,2026-09-21 11:33:08.762350,2026-09-21 11:33:09.188870,0 days 00:00:00.426520,0,16,15,1,9,1,16,9,6,12,4,11,14,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 9, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 9, ""candidate__paytv"": 6, ""candidate__print"": 12, ""candidate__radio"": 4, ""candidate__tiktok"": 11, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
537,1706.9144739973628,2026-09-21 11:33:09.207043,2026-09-21 11:33:10.038628,0 days 00:00:00.831585,0,17,16,1,10,0,16,5,8,10,5,12,14,16,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 5, ""candidate__paytv"": 8, ""candidate__print"": 10, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 16}",COMPLETE
538,1973.741476264287,2026-09-21 11:33:10.063047,2026-09-21 11:33:10.688653,0 days 00:00:00.625606,0,16,16,0,10,0,16,4,8,11,4,13,13,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 4, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 13, ""candidate__twitter"": 13, ""candidate__youtube"": 14}",PRUNED
539,2081.0454018835617,2026-09-21 11:33:10.711297,2026-09-21 11:33:11.185702,0 days 00:00:00.474405,4,15,16,2,10,1,16,10,10,14,5,13,16,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 2, ""candidate__instagram"": 10, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 10, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 16, ""candidate__youtube"": 15}",PRUNED
540,2063.0851530069335,2026-09-21 11:33:11.209398,2026-09-21 11:33:11.704709,0 days 00:00:00.495311,0,17,16,0,11,0,17,4,9,10,4,12,14,17,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 11, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 4, ""candidate__paytv"": 9, ""candidate__print"": 10, ""candidate__radio"": 4, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 17}",PRUNED
541,1714.3435049404222,2026-09-21 11:33:11.730141,2026-09-21 11:33:12.751534,0 days 00:00:01.021393,3,17,15,0,11,0,16,10,11,11,5,11,13,16,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 11, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 11, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 11, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",PRUNED
542,2074.024119116654,2026-09-21 11:33:12.770603,2026-09-21 11:33:13.186760,0 days 00:00:00.416157,0,17,15,1,9,0,16,6,8,11,4,14,15,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 17, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 9, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 8, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 14, ""candidate__twitter"": 15, ""candidate__youtube"": 14}",PRUNED
543,2085.0613320144457,2026-09-21 11:33:13.209297,2026-09-21 11:33:13.662822,0 days 00:00:00.453525,0,15,15,0,9,1,16,7,9,11,4,13,14,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 9, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 7, ""candidate__paytv"": 9, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 14}",PRUNED
544,2079.841717163895,2026-09-21 11:33:13.687300,2026-09-21 11:33:14.104855,0 days 00:00:00.417555,4,16,17,1,9,0,17,11,8,14,4,12,15,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 1, ""candidate__instagram"": 9, ""candidate__localtv"": 0, ""candidate__ooh"": 17, ""candidate__opentv"": 11, ""candidate__paytv"": 8, ""candidate__print"": 14, ""candidate__radio"": 4, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
545,2070.406931492542,2026-09-21 11:33:14.124812,2026-09-21 11:33:14.573629,0 days 00:00:00.448817,0,15,16,2,7,0,16,7,7,10,5,12,15,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 2, ""candidate__instagram"": 7, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 7, ""candidate__paytv"": 7, ""candidate__print"": 10, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 14}",PRUNED
546,2063.207988174795,2026-09-21 11:33:14.593165,2026-09-21 11:33:15.074418,0 days 00:00:00.481253,0,14,15,1,7,0,16,9,7,10,5,11,15,15,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 14, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 7, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 9, ""candidate__paytv"": 7, ""candidate__print"": 10, ""candidate__radio"": 5, ""candidate__tiktok"": 11, ""candidate__twitter"": 15, ""candidate__youtube"": 15}",PRUNED
547,2075.1337258796325,2026-09-21 11:33:15.094389,2026-09-21 11:33:15.616335,0 days 00:00:00.521946,3,16,15,1,10,0,15,11,7,12,6,14,13,16,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 15, ""candidate__opentv"": 11, ""candidate__paytv"": 7, ""candidate__print"": 12, ""candidate__radio"": 6, ""candidate__tiktok"": 14, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",PRUNED
548,1706.2147895811468,2026-09-21 11:33:15.640241,2026-09-21 11:33:16.419380,0 days 00:00:00.779139,1,16,16,1,10,0,16,8,9,12,6,12,14,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 9, ""candidate__print"": 12, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",COMPLETE
549,2067.813815421334,2026-09-21 11:33:16.448399,2026-09-21 11:33:16.897531,0 days 00:00:00.449132,0,16,14,1,11,0,16,8,9,11,5,12,14,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 1, ""candidate__instagram"": 11, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 8, ""candidate__paytv"": 9, ""candidate__print"": 11, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 14}",PRUNED
550,2083.41958137819,2026-09-21 11:33:16.923251,2026-09-21 11:33:17.583584,0 days 00:00:00.660333,4,16,14,2,9,0,16,10,7,12,6,13,12,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 2, ""candidate__instagram"": 9, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 10, ""candidate__paytv"": 7, ""candidate__print"": 12, ""candidate__radio"": 6, ""candidate__tiktok"": 13, ""candidate__twitter"": 12, ""candidate__youtube"": 15}",PRUNED
551,2077.0179388209185,2026-09-21 11:33:17.609413,2026-09-21 11:33:18.073923,0 days 00:00:00.464510,1,16,15,1,11,1,16,6,9,11,4,12,14,15,"{""candidate__cinema"": 1, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 1, ""candidate__instagram"": 11, ""candidate__localtv"": 1, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 9, ""candidate__print"": 11, ""candidate__radio"": 4, ""candidate__tiktok"": 12, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",PRUNED
552,1973.3165709274435,2026-09-21 11:33:18.095212,2026-09-21 11:33:18.711781,0 days 00:00:00.616569,0,15,15,0,7,0,16,6,8,13,5,12,15,14,"{""candidate__cinema"": 0, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 0, ""candidate__instagram"": 7, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 6, ""candidate__paytv"": 8, ""candidate__print"": 13, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 14}",PRUNED
553,1706.6191426338053,2026-09-21 11:33:18.740166,2026-09-21 11:33:19.463705,0 days 00:00:00.723539,4,13,16,0,10,0,16,11,8,14,5,13,14,15,"{""candidate__cinema"": 4, ""candidate__digitaldisplayandsearch"": 13, ""candidate__digitalvideo"": 16, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 8, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",COMPLETE
554,1973.9053388974203,2026-09-21 11:33:19.493018,2026-09-21 11:33:20.088978,0 days 00:00:00.595960,2,15,14,2,10,0,16,12,9,14,6,12,15,16,"{""candidate__cinema"": 2, ""candidate__digitaldisplayandsearch"": 15, ""candidate__digitalvideo"": 14, ""candidate__facebook"": 2, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 12, ""candidate__paytv"": 9, ""candidate__print"": 14, ""candidate__radio"": 6, ""candidate__tiktok"": 12, ""candidate__twitter"": 15, ""candidate__youtube"": 16}",PRUNED
555,2063.743552608124,2026-09-21 11:33:20.112146,2026-09-21 11:33:20.544928,0 days 00:00:00.432782,3,16,17,1,10,0,16,11,10,14,5,12,17,15,"{""candidate__cinema"": 3, ""candidate__digitaldisplayandsearch"": 16, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 1, ""candidate__instagram"": 10, ""candidate__localtv"": 0, ""candidate__ooh"": 16, ""candidate__opentv"": 11, ""candidate__paytv"": 10, ""candidate__print"": 14, ""candidate__radio"": 5, ""candidate__tiktok"": 12, ""candidate__twitter"": 17, ""candidate__youtube"": 15}",PRUNED
